Vehicle_Type,Year,Price,Mileage
Honda Civic Sport CVT,2019,$16298.00, 4417
Honda Civic LX 4dr Sedan CVT,2014,$11000.00, 79000
Honda Civic Civic LX Sedan 4D,2018,$17590.00, 29890
Honda Civic SE,2015,$11788.00, 60932
Honda Civic Civic EX Hatchback 4D,2019,$24990.00, 8177
Honda Civic Civic LX Sedan 4D,2015,$15990.00, 22545
Honda Civic Civic LX Sedan 4D,2018,$17990.00, 23863
Honda Civic Civic LX Sedan 4D,2013,$12990.00, 64706
Honda Civic Civic Touring Coupe 2D,2017,$23990.00, 11752
Honda Civic Civic HF Sedan 4D,2012,$11990.00, 67269
Honda Civic Civic LX Sedan 4D,2013,$12990.00, 57419
Honda Civic LX,2016,$13964.00, 37323
Honda Civic Si,2008,$7995.00, 127305
Honda Civic Civic LX Sedan 4D,2019,$20590.00, 3842
Honda Civic LX,2017,$15871.00, 37231
Honda Civic Civic Sport Hatchback 4D,2017,$17990.00, 43221
Honda Civic EX 4dr Sedan (1.8L I4 5A),2007,$2600.00, 0
Honda Civic EX,2018,$16999.00, 31706
Honda Civic EX,2019,$21481.00, 17156
Honda Civic EX FWD,2018,$16999.00, 27856
Honda Civic Civic EX-L Sedan 4D,2017,$19990.00, 46662
Honda Civic EX-L 1.5T FWD,2017,$17999.00, 19150
Honda Civic Civic EX Sedan 4D,2013,$13990.00, 57968
Honda Civic Civic EX Sedan 4D,2016,$15990.00, 75193
Honda Civic 4dr CVT LX,2014,$9995.00, 103232
Honda Civic Civic EX-L Sedan 4D,2018,$20590.00, 23675
Honda Civic Civic Si Sedan 4D,2019,$26990.00, 15669
Honda Civic Si,2015,$17393.00, 75763
Honda Civic LX,2018,$19775.00, 23637
Honda Civic Civic EX Sedan 4D,2013,$12990.00, 95591
Honda Civic Civic LX Sedan 4D,2015,$11990.00, 91688
Honda Civic LX,2016,$12995.00, 79100
Honda Civic Civic Si Coupe 2D,2017,$20990.00, 48335
Honda Civic EX,2017,$17777.00, 37300
Honda Civic EX CVT,2019,$17495.00, 5140
Honda Civic LX,2019,$18998.00, 16848
Honda Civic LX FWD,2017,$14999.00, 20682
Honda Civic EX-L 1.5T FWD,2017,$17999.00, 21114
Honda Civic LX,2016,$12585.00, 85685
Honda Civic Civic Touring Sedan 4D,2019,$24990.00, 10501
Honda Civic LX,2015,$12988.00, 61042
Honda Civic EX-T 1.5T Coupe FWD,2018,$16999.00, 24485
Honda Civic EX-L,2017,$21804.00, 22900
Honda Civic Civic EX-T Coupe 2D,2017,$18990.00, 47463
Honda Civic Civic LX Sedan 4D,2019,$18990.00, 17016
Honda Civic EX,2014,$10999.00, 0
Honda Civic EX-T 1.5 FWD,2018,$17999.00, 18887
Honda Civic EX,2017,$17988.00, 57633
Honda Civic LX,2016,$14000.00, 68223
Honda Civic LX,2018,$16491.00, 35602
Honda Civic Civic EX-L Sedan 4D,2017,$20990.00, 25012
Honda Civic LX 4dr Sedan CVT,2018,$17999.00, 30590
Honda Civic Civic EX Sedan 4D,2013,$12990.00, 78100
Honda Civic Civic LX Sedan 4D,2014,$13590.00, 50323
Honda Civic Civic EX w/Honda Sensing Hatchback 4D,2017,$18990.00, 61578
Honda Civic EX Coupe CVT,2015,$11995.00, 81196
Honda Civic Sedan 4dr Manual Si,2011,$8990.00, 147184
Honda Civic Type R Touring Manual,2017,$32995.00, 7613
Honda Civic Civic Si Sedan 4D,2018,$21990.00, 61774
Honda Civic Sport Touring,2019,$24998.00, 54632
Honda Civic Touring,2018,$19447.00, 31228
Honda Civic Civic EX-L Sedan 4D,2016,$17590.00, 60240
Fit LX Hatchback 1.5L Automatic Wagon 1 OWNER,2016,$13495.00, 63088
Honda Civic Sport CVT,2019,$16298.00, 11738
Honda Civic EX Auto Sunroof One Owner Clean.,2018,$16888.00, 53153
Honda Civic Sedan LX CVT,2017,$16057.00, 21307
Honda Civic EX 4dr Sedan,2002,$5000.00, 132581
Honda Civic Touring,2016,$17998.00, 31804
Honda Civic 2dr Manual Si,2015,$15495.00, 84019
Honda Civic Si,1990,$11900.00, 77532
Honda Civic EX,2019,$22209.00, 9855
Honda Civic Touring,2016,$16857.00, 68937
Honda Civic LX,2014,$11998.00, 58490
Honda Civic Sedan with CVT,2004,$3495.00, 140427
Honda Civic Coupe 2dr CVT EX-L,2015,$11995.00, 136108
Honda Civic Sport,2019,$21968.00, 9000
Honda Civic LX 4dr Sedan 5A,2010,$8497.00, 94448
Honda Civic Si Coupe Manual,2019,$18995.00, 41677
Honda Civic Sport Manual,2019,$16788.00, 24760
Honda Civic Si Coupe ,2018,$17945.00, 22982
Honda Civic EX,2017,$16991.00, 44721
Honda Civic Manual Sedan,2015,$18950.00, 50399
Honda Civic EX,2018,$19000.00, 35032
Honda Civic LX-P,2016,$14985.00, 69177
Honda Civic LX,2013,$10491.00, 69038
Honda Civic LX,2013,$8250.00, 118028
Honda Civic LX,2012,$9970.00, 83284
Honda Civic EX-L,2016,$17988.00, 68544
Honda Civic Si,2019,$26998.00, 12980
Honda Civic LX,2014,$11995.00, 41634
Honda Civic Civic LX Sedan 4D,2014,$13590.00, 53986
Honda Civic Civic EX-T Sedan 4D,2018,$19990.00, 35104
Honda Civic Civic Touring Sedan 4D,2018,$21990.00, 25478
Honda Civic Civic LX Sedan 4D,2014,$13590.00, 43706
Honda Civic Civic LX Sedan 4D,2014,$13590.00, 49984
Honda Civic Civic Touring Sedan 4D,2019,$24990.00, 14761
Honda Civic Civic LX Sedan 4D,2017,$16590.00, 54973
Honda Civic Civic Si Sedan 4D,2017,$22590.00, 27407
Honda Civic Civic EX Sedan 4D,2015,$14590.00, 63857
Honda Civic Civic LX Sedan 4D,2013,$12590.00, 75178
Honda Civic Civic EX Sedan 4D,2014,$13590.00, 78548
Honda Civic Civic EX Hatchback 4D,2018,$20990.00, 33790
Honda Civic Civic LX Coupe 2D,2014,$14590.00, 52737
Honda Civic Civic EX Sedan 4D,2014,$14590.00, 58536
Honda Civic Civic Si Coupe 2D,2017,$22590.00, 27455
Honda Civic Civic EX Sedan 4D,2013,$13990.00, 59000
Honda Civic Civic LX Sedan 4D,2015,$13990.00, 66898
Honda Civic Civic Si Sedan 4D,2019,$25990.00, 8017
Honda Civic Civic EX Sedan 4D,2019,$22990.00, 11634
Honda Civic Si,2013,$14995.00, 86559
Honda Civic Civic LX Sedan 4D,2015,$14990.00, 17068
Honda Civic Civic LX Coupe 2D,2015,$13990.00, 69849
Honda Civic SI Supercharged!,2015,$18995.00, 73321
Honda Civic Civic EX-L Sedan 4D,2018,$21590.00, 8693
Honda Civic Civic EX-L Sedan 4D,2014,$12990.00, 61587
Honda Civic Civic LX Sedan 4D,2015,$13990.00, 56080
Honda Civic Civic LX Sedan 4D,2013,$14990.00, 12935
Honda Civic Civic SE Sedan 4D,2015,$13590.00, 32762
Honda Civic Si,2017,$21500.00, 16051
Honda Civic Civic EX-L Sedan 4D,2015,$13990.00, 91751
Honda Civic Civic EX-T Coupe 2D,2017,$20590.00, 22244
Honda Civic Civic EX Sedan 4D,2019,$23990.00, 3288
Honda Civic Civic EX-T Coupe 2D,2017,$18990.00, 61752
Honda Civic Civic LX Coupe 2D,2012,$12990.00, 51010
Honda Civic Sport,2019,$16995.00, 12967
Honda Civic EX,2018,$16215.00, 21572
Honda Civic EX,2018,$22252.00, 37636
Honda Civic LX,2017,$14411.00, 19371
Honda Civic LX 4dr Sedan 5A,2010,$7495.00, 88903
Honda Civic EX-L,2016,$17806.00, 60973
Honda Civic Si,2017,$22047.00, 31639
Honda Civic EX-T,2018,$21200.00, 15182
Honda Civic 4dr Automatic EX PZEV,2012,$5795.00, 149556
Honda Civic EX L 4dr Sedan,2015,$12998.00, 99141
Honda Civic Sedan 4dr Manual LX,2012,$6677.00, 154000
Civic LX Automatic Local Trade 24K Newer Tires 41 MPG,2016,$17995.00, 24474
Honda Civic EX ALL STOCK ADULT OWNED AUTOMATIC COLD AC SOLID GA COUPE,2002,$5990.00, 152905
Saturn L-Series L300 90K 3.0L V6 PREMIUM PKG HEATED LTHR ALL BLACK LIL LIMO,2001,$3990.00, 90305
Honda Civic EX Coupe 2-Door,2003,$5495.00, 173000
Honda Civic 2dr CVT EX-T,2016,$18346.00, 26602
Civic Sport,2018,$17995.00, 49926
Honda Civic LX,2014,$8995.00, 108467
Honda Civic LX FWD Rear Camera Bluetooth Aux & USB Inputs New Tires,2017,$14259.00, 36978
